id,trial,inventory,first,second,success,results,t
0,0,5,3,3,1,[6],0
0,1,6,2,6,1,[26],0
0,2,7,1,26,1,[35],0
0,3,8,26,26,1,[246],0
0,4,9,246,246,1,[71],0
0,5,10,26,35,1,[54],0
0,6,11,35,54,1,[148],0
0,7,12,3,6,1,[19],0
0,8,13,2,26,1,[578],0
0,9,14,3,26,1,[27],0
0,10,14,19,26,1,-1,0
0,11,14,2,2,1,-1,0
0,12,15,1,27,1,[31],0
0,13,16,1,1,1,[10],0
0,14,17,3,10,1,[563],0
0,15,17,26,563,1,-1,0
0,16,17,27,563,1,-1,0
0,17,18,27,578,1,[100],0
0,18,18,27,27,1,-1,0
0,19,19,71,71,1,[256],0
0,20,20,256,256,1,[302],0
0,21,21,1,2,1,[5],0
0,22,21,3,5,1,-1,0
0,23,21,2,563,1,-1,0
0,24,22,0,27,1,[106],0
0,25,23,0,0,1,[478],0
0,26,24,0,478,1,[329],0
0,27,25,0,329,1,[514],0
0,28,26,0,514,1,[8],0
0,29,27,0,8,1,[9],0
0,30,27,8,8,1,-1,0
0,31,27,514,514,1,-1,0
0,32,27,329,329,1,-1,0
0,33,27,9,9,1,-1,0
0,34,27,478,478,1,-1,0
0,35,27,8,27,1,-1,0
0,36,27,27,514,1,-1,0
0,37,27,9,27,1,-1,0
0,38,28,2,5,1,[7],0
0,39,30,6,7,1,"[25, 20]",0
0,40,32,31,35,1,"[184, 286]",0
0,41,33,2,578,1,[579],0
0,42,34,579,579,1,[247],0
0,43,35,1,247,1,[107],0
0,44,36,3,247,1,[162],0
0,45,38,107,162,1,"[532, 21]",0
0,46,38,1,21,1,-1,0
0,47,38,162,162,1,-1,0
0,48,38,3,162,1,-1,0
0,49,38,3,21,1,-1,0
1,0,5,3,3,1,[6],0
1,1,6,2,6,1,[26],0
1,2,7,1,26,1,[35],0
1,3,8,26,26,1,[246],0
1,4,9,246,246,1,[71],0
1,5,10,26,35,1,[54],0
1,6,11,3,6,1,[19],0
1,7,12,35,54,1,[148],0
1,8,13,19,26,1,[27],0
1,9,13,3,26,1,-1,0
1,10,14,2,26,1,[578],0
1,11,14,2,2,1,-1,0
1,12,15,1,27,1,[31],0
1,13,16,1,1,1,[10],0
1,14,17,3,10,1,[563],0
1,15,17,26,563,1,-1,0
1,16,17,27,563,1,-1,0
1,17,18,27,578,1,[100],0
1,18,18,27,27,1,-1,0
1,19,19,2,563,1,[5],0
1,20,19,3,5,1,-1,0
1,21,19,1,2,1,-1,0
1,22,20,71,71,1,[256],0
1,23,21,256,256,1,[302],0
1,24,22,0,27,1,[106],0
1,25,23,0,0,1,[478],0
1,26,24,478,478,1,[329],0
1,27,25,329,329,1,[514],0
1,28,26,0,514,1,[8],0
1,29,27,0,8,1,[9],0
1,30,27,8,8,1,-1,0
1,31,27,514,514,1,-1,0
1,32,27,0,329,1,-1,0
1,33,27,9,9,1,-1,0
1,34,27,0,478,1,-1,0
1,35,27,9,27,1,-1,0
1,36,27,27,514,1,-1,0
1,37,27,8,27,1,-1,0
1,38,28,2,5,1,[7],0
1,39,30,6,7,1,"[25, 20]",0
1,40,32,31,35,1,"[184, 286]",0
1,41,33,0,1,1,[4],0
1,42,34,578,578,1,[579],0
1,43,35,579,579,1,[247],0
1,44,36,1,247,1,[107],0
1,45,37,3,247,1,[162],0
1,46,39,107,162,1,"[532, 21]",0
1,47,39,1,21,1,-1,0
1,48,39,162,162,1,-1,0
1,49,39,3,162,1,-1,0
2,0,5,3,3,1,[6],0
2,1,6,2,6,1,[26],0
2,2,7,1,26,1,[35],0
2,3,8,26,26,1,[246],0
2,4,9,246,246,1,[71],0
2,5,10,26,35,1,[54],0
2,6,11,35,54,1,[148],0
2,7,12,3,6,1,[19],0
2,8,13,19,26,1,[27],0
2,9,14,2,2,1,[578],0
2,10,14,3,26,1,-1,0
2,11,14,2,26,1,-1,0
2,12,15,1,27,1,[31],0
2,13,16,1,1,1,[10],0
2,14,17,3,10,1,[563],0
2,15,17,26,563,1,-1,0
2,16,17,27,563,1,-1,0
2,17,18,27,27,1,[100],0
2,18,18,27,578,1,-1,0
2,19,19,71,71,1,[256],0
2,20,20,256,256,1,[302],0
2,21,21,2,563,1,[5],0
2,22,21,3,5,1,-1,0
2,23,21,1,2,1,-1,0
2,24,22,0,27,1,[106],0
2,25,23,0,0,1,[478],0
2,26,24,478,478,1,[329],0
2,27,25,329,329,1,[514],0
2,28,26,514,514,1,[8],0
2,29,27,8,8,1,[9],0
2,30,27,0,8,1,-1,0
2,31,27,0,514,1,-1,0
2,32,27,0,329,1,-1,0
2,33,27,9,9,1,-1,0
2,34,27,0,478,1,-1,0
2,35,27,9,27,1,-1,0
2,36,27,8,27,1,-1,0
2,37,27,27,514,1,-1,0
2,38,28,2,5,1,[7],0
2,39,30,6,7,1,"[25, 20]",0
2,40,32,31,35,1,"[184, 286]",0
2,41,33,0,563,1,[4],0
2,42,34,19,71,1,[150],0
2,43,34,0,1,1,-1,0
2,44,35,2,578,1,[579],0
2,45,36,9,579,1,[247],0
2,46,37,1,247,1,[107],0
2,47,38,3,247,1,[162],0
2,48,40,107,162,1,"[532, 21]",0
2,49,40,1,21,1,-1,0
3,0,5,3,3,1,[6],0
3,1,6,2,6,1,[26],0
3,2,7,1,26,1,[35],0
3,3,8,26,35,1,[54],0
3,4,9,26,26,1,[246],0
3,5,10,246,246,1,[71],0
3,6,11,35,54,1,[148],0
3,7,12,3,6,1,[19],0
3,8,13,19,26,1,[27],0
3,9,13,3,26,1,-1,0
3,10,14,2,26,1,[578],0
3,11,14,2,2,1,-1,0
3,12,15,1,27,1,[31],0
3,13,16,1,1,1,[10],0
3,14,17,3,10,1,[563],0
3,15,17,26,563,1,-1,0
3,16,17,27,563,1,-1,0
3,17,18,27,27,1,[100],0
3,18,18,27,578,1,-1,0
3,19,19,71,71,1,[256],0
3,20,20,256,256,1,[302],0
3,21,21,1,2,1,[5],0
3,22,21,3,5,1,-1,0
3,23,21,2,563,1,-1,0
3,24,22,0,27,1,[106],0
3,25,23,0,0,1,[478],0
3,26,24,0,478,1,[329],0
3,27,25,0,329,1,[514],0
3,28,26,514,514,1,[8],0
3,29,27,0,8,1,[9],0
3,30,27,8,8,1,-1,0
3,31,27,0,514,1,-1,0
3,32,27,329,329,1,-1,0
3,33,27,9,9,1,-1,0
3,34,27,27,514,1,-1,0
3,35,27,478,478,1,-1,0
3,36,27,9,27,1,-1,0
3,37,27,8,27,1,-1,0
3,38,28,2,5,1,[7],0
3,39,30,6,7,1,"[25, 20]",0
3,40,32,31,35,1,"[184, 286]",0
3,41,33,2,578,1,[579],0
3,42,34,579,579,1,[247],0
3,43,35,1,247,1,[107],0
3,44,36,3,247,1,[162],0
3,45,38,107,162,1,"[532, 21]",0
3,46,38,1,21,1,-1,0
3,47,38,162,162,1,-1,0
3,48,38,3,162,1,-1,0
3,49,38,3,21,1,-1,0
4,0,5,3,3,1,[6],0
4,1,6,2,6,1,[26],0
4,2,7,1,26,1,[35],0
4,3,8,26,26,1,[246],0
4,4,9,246,246,1,[71],0
4,5,10,26,35,1,[54],0
4,6,11,3,6,1,[19],0
4,7,12,35,54,1,[148],0
4,8,13,2,2,1,[578],0
4,9,14,19,26,1,[27],0
4,10,14,3,26,1,-1,0
4,11,14,2,26,1,-1,0
4,12,15,1,27,1,[31],0
4,13,16,1,1,1,[10],0
4,14,17,3,10,1,[563],0
4,15,17,26,563,1,-1,0
4,16,17,27,563,1,-1,0
4,17,18,27,27,1,[100],0
4,18,18,27,578,1,-1,0
4,19,19,71,71,1,[256],0
4,20,20,256,256,1,[302],0
4,21,21,2,563,1,[5],0
