node_1,node_2,chunk_id,count,edge
$2.7 per citizen per year,for-profit private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
$2.7 per citizen per year,government-funded health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
$2.7 per citizen per year,india,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
$2.7 per citizen per year,individual informal provider clinics,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",3,contextual proximity
$2.7 per citizen per year,narayana health,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
$2.7 per citizen per year,private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",4,contextual proximity
$2.7 per citizen per year,world-class health facilities,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
$3 billion,for-profit private health sector,"27a68d31c4794bc3b8d90fe60c5713d7,27a68d31c4794bc3b8d90fe60c5713d7,27a68d31c4794bc3b8d90fe60c5713d7",3,contextual proximity
"0.576 physicians per 1,000 population",for-profit private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.576 physicians per 1,000 population",government-funded health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.576 physicians per 1,000 population",india,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.576 physicians per 1,000 population",individual informal provider clinics,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",3,contextual proximity
"0.576 physicians per 1,000 population",narayana health,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.576 physicians per 1,000 population",private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",4,contextual proximity
"0.576 physicians per 1,000 population",world-class health facilities,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.7 public hospital beds per 100,000 people",for-profit private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.7 public hospital beds per 100,000 people",government-funded health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.7 public hospital beds per 100,000 people",india,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.7 public hospital beds per 100,000 people",individual informal provider clinics,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",3,contextual proximity
"0.7 public hospital beds per 100,000 people",narayana health,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"0.7 public hospital beds per 100,000 people",private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",4,contextual proximity
"0.7 public hospital beds per 100,000 people",world-class health facilities,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
1% of the gdp,government healthcare system,"24fcd94842194e2a829ddd2eb92d5e7f,24fcd94842194e2a829ddd2eb92d5e7f",2,contextual proximity
1% of the gdp,india,"24fcd94842194e2a829ddd2eb92d5e7f,24fcd94842194e2a829ddd2eb92d5e7f",2,contextual proximity
1% of the gdp,public health system,"24fcd94842194e2a829ddd2eb92d5e7f,24fcd94842194e2a829ddd2eb92d5e7f",2,contextual proximity
1.28% of the gdp,for-profit private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
1.28% of the gdp,government-funded health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
1.28% of the gdp,india,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
1.28% of the gdp,individual informal provider clinics,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",3,contextual proximity
1.28% of the gdp,narayana health,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
1.28% of the gdp,private health sector,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",4,contextual proximity
1.28% of the gdp,world-class health facilities,"5f3ec768872e4818897d9b914ffc39cd,5f3ec768872e4818897d9b914ffc39cd",2,contextual proximity
"1.29% from government, rest from oop expenditures",government of india,"87cd3df3e61444faa77c4869b97c5e84,87cd3df3e61444faa77c4869b97c5e84",2,contextual proximity
1.29% of its budget allocated to healthcare,government of india,"87cd3df3e61444faa77c4869b97c5e84,87cd3df3e61444faa77c4869b97c5e84",2,contextual proximity
