node_1,node_2,chunk_id,count,edge
$100m a year,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$100m a year,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$100m a year,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$100m a year,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$100m a year,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
$360m each year,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$360m each year,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$360m each year,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$360m each year,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$360m each year,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
$750m per year,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$750m per year,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$750m per year,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$750m per year,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
$750m per year,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
abroad,doha,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
abroad,hamas,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
abroad,hamas’s bankers,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
abroad,istanbul,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
abroad,recep tayyip erdogan,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
abroad,revenue streams,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
abroad,turkish government,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
abroad,zaher jabarin,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
afra mall,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
afra mall,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
afra mall,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
afra mall,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
"algeria, sudan, uae",doha,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
"algeria, sudan, uae",hamas,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
"algeria, sudan, uae",hamas’s bankers,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
"algeria, sudan, uae",istanbul,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
"algeria, sudan, uae",recep tayyip erdogan,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
"algeria, sudan, uae",revenue streams,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
"algeria, sudan, uae",turkish government,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
"algeria, sudan, uae",zaher jabarin,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
america,doha,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
america,hamas,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",5,contextual proximity
america,hamas's financial empire,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",4,contextual proximity
america,hamas’s bankers,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
america,israel,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,2c5914d3324f414bbc913e65864a803b",4,contextual proximity
america,istanbul,"760165da660e4cb6919f696042512ac2,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",4,contextual proximity
america,man,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",2,contextual proximity
america,recep tayyip erdogan,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
america,revenue streams,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
america,turkish government,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
america,zaher jabarin,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
american officials,$100m a year,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,$360m each year,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,$750m per year,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,american sanctions,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,1f830bf583c64d58bd16743a06aaee08",3,contextual proximity
american officials,ayatollahs,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,basic necessities,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,biggest friendly government,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,border,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
american officials,egypt,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
american officials,friendly governments,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
