model,trial,step,inventory_size
true_emp,1,1,inventory_size
true_emp,1,2,5
true_emp,1,3,6
true_emp,1,4,7
true_emp,1,5,8
true_emp,1,6,9
true_emp,1,7,10
true_emp,1,8,11
true_emp,1,9,12
true_emp,1,10,13
true_emp,1,11,14
true_emp,1,12,14
true_emp,1,13,15
true_emp,1,14,15
true_emp,1,15,16
true_emp,1,16,17
true_emp,1,17,17
true_emp,1,18,17
true_emp,1,19,18
true_emp,1,20,18
true_emp,1,21,19
true_emp,1,22,20
true_emp,1,23,21
true_emp,1,24,21
true_emp,1,25,22
true_emp,1,26,22
true_emp,1,27,23
true_emp,1,28,24
true_emp,1,29,25
true_emp,1,30,26
true_emp,1,31,27
true_emp,1,32,27
true_emp,1,33,27
true_emp,1,34,27
true_emp,1,35,27
true_emp,1,36,27
true_emp,1,37,27
true_emp,1,38,27
true_emp,1,39,27
true_emp,1,40,28
true_emp,1,41,29
true_emp,1,42,31
true_emp,1,43,32
true_emp,1,44,32
true_emp,1,45,32
true_emp,1,46,33
true_emp,1,47,34
true_emp,1,48,35
true_emp,1,49,36
true_emp,1,50,37
true_emp,1,51,37
true_emp,2,1,inventory_size
true_emp,2,2,5
true_emp,2,3,6
true_emp,2,4,7
true_emp,2,5,8
true_emp,2,6,9
true_emp,2,7,10
true_emp,2,8,11
true_emp,2,9,12
true_emp,2,10,13
true_emp,2,11,14
true_emp,2,12,14
true_emp,2,13,14
true_emp,2,14,15
true_emp,2,15,16
true_emp,2,16,17
true_emp,2,17,17
true_emp,2,18,17
true_emp,2,19,18
true_emp,2,20,18
true_emp,2,21,19
true_emp,2,22,20
true_emp,2,23,21
true_emp,2,24,22
true_emp,2,25,22
true_emp,2,26,22
true_emp,2,27,23
true_emp,2,28,24
true_emp,2,29,25
true_emp,2,30,26
true_emp,2,31,27
true_emp,2,32,27
true_emp,2,33,27
true_emp,2,34,27
true_emp,2,35,27
true_emp,2,36,27
true_emp,2,37,27
true_emp,2,38,27
true_emp,2,39,27
true_emp,2,40,28
true_emp,2,41,29
true_emp,2,42,31
true_emp,2,43,32
true_emp,2,44,33
true_emp,2,45,34
true_emp,2,46,35
true_emp,2,47,36
true_emp,2,48,36
true_emp,2,49,36
true_emp,2,50,36
true_emp,2,51,36
true_emp,3,1,inventory_size
true_emp,3,2,5
true_emp,3,3,6
true_emp,3,4,7
true_emp,3,5,8
true_emp,3,6,9
true_emp,3,7,10
true_emp,3,8,11
true_emp,3,9,12
true_emp,3,10,13
true_emp,3,11,14
true_emp,3,12,14
true_emp,3,13,14
true_emp,3,14,15
true_emp,3,15,16
true_emp,3,16,16
true_emp,3,17,17
true_emp,3,18,17
true_emp,3,19,18
true_emp,3,20,18
true_emp,3,21,19
true_emp,3,22,20
true_emp,3,23,21
true_emp,3,24,21
true_emp,3,25,21
true_emp,3,26,22
true_emp,3,27,23
