model,trial,step,inventory_size
with_fallback,1,1,5
with_fallback,1,2,6
with_fallback,1,3,7
with_fallback,1,4,8
with_fallback,1,5,9
with_fallback,1,6,10
with_fallback,1,7,11
with_fallback,1,8,12
with_fallback,1,9,13
with_fallback,1,10,14
with_fallback,1,11,15
with_fallback,1,12,16
with_fallback,1,13,16
with_fallback,1,14,17
with_fallback,1,15,18
with_fallback,1,16,20
with_fallback,1,17,21
with_fallback,1,18,23
with_fallback,1,19,23
with_fallback,1,20,24
with_fallback,1,21,25
with_fallback,1,22,25
with_fallback,1,23,26
with_fallback,1,24,27
with_fallback,1,25,28
with_fallback,1,26,29
with_fallback,1,27,29
with_fallback,1,28,30
with_fallback,1,29,31
with_fallback,1,30,32
with_fallback,1,31,33
with_fallback,1,32,34
with_fallback,1,33,35
with_fallback,1,34,36
with_fallback,1,35,36
with_fallback,1,36,36
with_fallback,1,37,37
with_fallback,1,38,38
with_fallback,1,39,38
with_fallback,1,40,38
with_fallback,1,41,39
with_fallback,1,42,40
with_fallback,1,43,41
with_fallback,1,44,42
with_fallback,1,45,44
with_fallback,1,46,46
with_fallback,1,47,47
with_fallback,1,48,48
with_fallback,1,49,48
with_fallback,1,50,48
with_fallback,2,1,5
with_fallback,2,2,6
with_fallback,2,3,7
with_fallback,2,4,8
with_fallback,2,5,9
with_fallback,2,6,10
with_fallback,2,7,11
with_fallback,2,8,12
with_fallback,2,9,13
with_fallback,2,10,14
with_fallback,2,11,15
with_fallback,2,12,16
with_fallback,2,13,16
with_fallback,2,14,17
with_fallback,2,15,18
with_fallback,2,16,19
with_fallback,2,17,21
with_fallback,2,18,22
with_fallback,2,19,24
with_fallback,2,20,24
with_fallback,2,21,25
with_fallback,2,22,26
with_fallback,2,23,27
with_fallback,2,24,28
with_fallback,2,25,29
with_fallback,2,26,30
with_fallback,2,27,31
with_fallback,2,28,32
with_fallback,2,29,33
with_fallback,2,30,34
with_fallback,2,31,35
with_fallback,2,32,36
with_fallback,2,33,37
with_fallback,2,34,37
with_fallback,2,35,37
with_fallback,2,36,37
with_fallback,2,37,38
with_fallback,2,38,39
with_fallback,2,39,39
with_fallback,2,40,40
with_fallback,2,41,41
with_fallback,2,42,42
with_fallback,2,43,44
with_fallback,2,44,44
with_fallback,2,45,44
with_fallback,2,46,44
with_fallback,2,47,45
with_fallback,2,48,47
with_fallback,2,49,48
with_fallback,2,50,49
with_fallback,3,1,5
with_fallback,3,2,6
with_fallback,3,3,7
with_fallback,3,4,8
with_fallback,3,5,9
with_fallback,3,6,10
with_fallback,3,7,11
with_fallback,3,8,12
with_fallback,3,9,13
with_fallback,3,10,14
with_fallback,3,11,15
with_fallback,3,12,16
with_fallback,3,13,16
with_fallback,3,14,17
with_fallback,3,15,19
with_fallback,3,16,20
with_fallback,3,17,22
with_fallback,3,18,23
with_fallback,3,19,23
with_fallback,3,20,23
with_fallback,3,21,24
with_fallback,3,22,25
with_fallback,3,23,25
with_fallback,3,24,26
with_fallback,3,25,27
with_fallback,3,26,28
with_fallback,3,27,29
with_fallback,3,28,30
with_fallback,3,29,31
with_fallback,3,30,32
with_fallback,3,31,33
with_fallback,3,32,34
with_fallback,3,33,35
with_fallback,3,34,36
with_fallback,3,35,36
with_fallback,3,36,36
with_fallback,3,37,36
with_fallback,3,38,37
with_fallback,3,39,38
with_fallback,3,40,38
