node_1|node_2|edge|chunk_id
india|health indicators|India's health indicators have improved in recent times but continue to lag behind peer nations.|5f490ea1f9f34632a819815c56a0e21d
india|population|India is a country with a population of 1.3 billion.|5f490ea1f9f34632a819815c56a0e21d
active health workers|doctors|Active health workers density includes doctors.|5f490ea1f9f34632a819815c56a0e21d
active health workers|nurses/midwives|Active health workers density includes nurses/midwives.|5f490ea1f9f34632a819815c56a0e21d
doctors and nurses/midwives density|5.0 and 6.0 respectively per 10,000 persons|The density of doctors and nurses/midwives in India is 5.0 and 6.0 respectively, per 10,000 persons.|5f490ea1f9f34632a819815c56a0e21d
who threshold|44.5 doctors, nurses, and midwives per 10,000 population|WHO threshold for health workers density is 44.5 doctors, nurses, and midwives per 10,000 population.|5f490ea1f9f34632a819815c56a0e21d
india's health workers density|who threshold|India's health worker density is much lower than the WHO threshold.|5f490ea1f9f34632a819815c56a0e21d
health worker distribution|inter-state, urban-rural, and public-private sector divide|Health worker issue is compounded by skewed inter-state, urban-rural, and public-private sector divide.|5f490ea1f9f34632a819815c56a0e21d
skilled health workforce|urgent augmentation|Calls to urgently augment the skilled health workforce emphasize its central role.|5f490ea1f9f34632a819815c56a0e21d
human resources|healthcare|Human resources have a central role in healthcare.|5f490ea1f9f34632a819815c56a0e21d
healthcare issue|complex multifactorial issue|Healthcare has evolved into a complex multifactorial issue.|5f490ea1f9f34632a819815c56a0e21d
paucity of skilled personnel|india's progress toward universal health coverage and sdgs|Paucity of skilled personnel must be addressed for India's progress toward universal health coverage and SDGs.|5f490ea1f9f34632a819815c56a0e21d
federal health budget|recent increase|Recent increase in the federal health budget offers an unprecedented opportunity.|5f490ea1f9f34632a819815c56a0e21d
article|read approach|This article utilizes the READ approach to analyze India's health system.|5f490ea1f9f34632a819815c56a0e21d
read approach|data extraction and analysis|READ approach involves extracting and analyzing data, distilling findings.|5f490ea1f9f34632a819815c56a0e21d
public health sector|private health sector|There is a growing divide between the public and private health sector systems.|5f490ea1f9f34632a819815c56a0e21d
private health sector|booming medical tourism industry and medical schools|Private health sector includes a booming medical tourism industry and medical schools.|5f490ea1f9f34632a819815c56a0e21d
national medical council|newly minted|National Medical Council is newly minted.|5f490ea1f9f34632a819815c56a0e21d
article|recommend policies|The article recommends policies to help India achieve its SDGs.|5f490ea1f9f34632a819815c56a0e21d
recommend policies|india's sdgs|Policies are recommended to support India's achievement of SDGs.|5f490ea1f9f34632a819815c56a0e21d
working conditions|auxiliary nurse midwives|Working conditions relate to the environment and circumstances under which auxiliary nurse midwives operate.|08ec3fd889ee49de99d90a7f9954eae1
indian public health standards|health sector reform|Indian public health standards are influenced by and contribute to health sector reform.|08ec3fd889ee49de99d90a7f9954eae1
human resource|auxiliary nurse midwives|Auxiliary nurse midwives are part of the human resource in the health sector.|08ec3fd889ee49de99d90a7f9954eae1
health policy|health sector reform|Health policy guides and shapes health sector reform.|08ec3fd889ee49de99d90a7f9954eae1
india|indian public health standards|Indian public health standards are specific to the country, India.|08ec3fd889ee49de99d90a7f9954eae1
