node_1|node_2|edge|chunk_id
hamas|financial empire|Hamas has a sprawling financial empire that supports its activities.|760165da660e4cb6919f696042512ac2
israel|hamas's finances|Israel is powerless to dismantle Hamas's finances.|760165da660e4cb6919f696042512ac2
istanbul|bosporus|The Bosporus is viewed from Istanbul’s glitziest restaurants where Hamas’s financiers gather.|760165da660e4cb6919f696042512ac2
hamas's financiers|istanbul restaurants|Hamas’s financiers frequent some of Istanbul’s glitziest restaurants.|760165da660e4cb6919f696042512ac2
america|man|America has imposed sanctions on a man for funding Hamas.|760165da660e4cb6919f696042512ac2
man|board seats|The sanctioned man describes his various board seats linked to Hamas's financial activities.|760165da660e4cb6919f696042512ac2
hamas|sources of power|Hamas has three sources of power: physical force inside Gaza, the reach of its ideas, and its income.|760165da660e4cb6919f696042512ac2
hamas's physical force|gaza|Hamas exercises physical force inside Gaza.|760165da660e4cb6919f696042512ac2
israel|palestinians in gaza|Israel has killed more than 12,000 Palestinians in Gaza since Hamas's attacks on October 7.|760165da660e4cb6919f696042512ac2
israel|hamas|Israel's declared goal is to destroy Hamas for good.|760165da660e4cb6919f696042512ac2
hamas's financial base|overseas countries|Hamas's financial base is primarily located overseas in friendly countries, not in Gaza.|760165da660e4cb6919f696042512ac2
hamas's financial empire|money-launderers and mining companies|Hamas's financial empire involves money-launderers, mining companies, and other entities.|760165da660e4cb6919f696042512ac2
hamas's financial empire|annual income|Hamas's financial empire is estimated to generate more than $1 billion a year.|760165da660e4cb6919f696042512ac2
hamas's financial empire|western sanctions|Hamas's financial empire is crafted to avoid Western sanctions.|760165da660e4cb6919f696042512ac2
israel and allies|hamas's financial empire|Hamas's financial empire may be out of reach for Israel and its allies.|760165da660e4cb6919f696042512ac2
hamas's income|schoolteachers' salaries|Hamas's income pays for schoolteachers' salaries|22b259079a794da2961bfc6ba85aab7b
hamas's income|missiles|Hamas's income pays for missiles|22b259079a794da2961bfc6ba85aab7b
$360m each year|import taxes|$360m each year comes from import taxes on goods brought into Gaza|22b259079a794da2961bfc6ba85aab7b
import taxes|goods brought into gaza|import taxes are on goods brought into Gaza from the West Bank or Egypt|22b259079a794da2961bfc6ba85aab7b
